,Question,Answer
4267,"If you need money, will you please-please just let me loan you some money?","No, Chandler. Look, forget about it, okay? Look, I know things have been a little tight since Janine moved out. Oh, was she hot."
4268,Whoa ho.,"I know! Yeah, but, look I can handle it. All right? Look, I can listen to the radio, huh? And Ross gave me this great book ."
4269,"All right, you want to see if the joke stealer will let us watch the show at his place?",Sure.
4270,Paid your phone bill?,Not so much.
4271,,You forget how many great songs Heart had.
4272,"So, you heard it, you repeated it, so that must mean you wrote it.","Oh, you guys, with this joke. I gotta say, I know I cracked up, but I'm not even sure I got it."
4273,Here you go.,"Ah, Gunther, I can't pay for this right now because I'm not working, so I've had to cut down on some luxuries like uh, payin' for stuff."
4274,"Well, if you want, you can work here.","Uh, I don't know. Ya see, it's just, see I was a regular on a soap opera y'know? And to go from that to this, I just... Plus, I'd have to wait on all my friends."
4275,"Okay, but the money's good, plus you get to stare at Rachel as much as you want.",What?!
4276,Flexible hours.,Maybe I could be a waiter. Could I use the phone?
4277,,I finished my book.
4278,,"Hey Ross, listen, you want anything to drink, 'cause I'm heading up there."
4279,"Uh, yeah, I'll take a coffee. Thanks, man.",Sure. Coffee? 'Cause I'm going up there.
4280,"No, thank you.","You guys need anything, 'cause I'm heading up there."
4281,I'd love an ice water.,You got it.
4282,"Joey, what are you doing?",Just being friendly.
4283,"Joey, honey, I don't think you're supposed to go back there.","Nah, it's okay. Right, Gunther?"
4284,Don't wink at me. And put on your apron.,"Okay, but I don't see you asking any other paying customers to put on aprons."
4285,"Joey, do you work here?",No.
4286,"Hey, waiter.",Yeah?
4287,"Joey, what's going on. What didn't you tell us you work here?","It's kind of embarrassing, y'know. I mean, I was an actor and now I'm a waiter. It's supposed to go in the other direction."
4288,So is your apron. You're wearing it like a cape.,"I mean, the job's easy and the money's good, you know? I guess I'm going to be hanging out here anyway. I might as well get paid for it, right? I just feel kind of weird serving you guys."
4289,"Yeah, why would it be weird? Hey, Joey, can I get some coffee?","Okay, I guess it doesn't seem that weird."
4290,"Seriously, I-I asked you before and you still haven't gotten it.","See, now it's weird again."
4291,"Well, you know what? This is great. Finally, I have someone I can pass on my wisdom too. Let me tell you about a couple of things I learned while working at the coffeehouse. First of all, the customer is always right. A smile goes a long way. And if anyone is ever rude to you? Sneeze muffin.","Thanks, Rach. Look, you guys are just terrific. Y'know? Now, how about clearing out of here so I can get some new customers. It's all about turnover."
4292,"Joey, seriously, can I get my coffee?","Oh, I'm sorry, Ross. I'll get it for you right now. And since I made you wait, I'll toss in a free muffin."
4293,,"Hey, Gunther. Can you uh, can you cover for me? I just got an audition."
4294,"No, I'm leaving to get my hair dyed.","Really?! I like your natural color. Come on man, it's a great part. Look, check it out. I'm the lead guy's best friend and I wait for him in this bar and save his seat. Listen-listen. 'I'm sorry, that seat's saved.'"
4295,That's the whole part?,"Okay, maybe he's not his best friend, but ..."
4296,"Okay, I'll see you in an hour.","Oh, man, I could totally get that part. 'I'm sorry, that seat is taken.'"
4297,"Oh, excuse me.","No, no, I didn't mean you. But, you believed me, huh?"
4298,I believed you were saving this seat for someone.,"So, you'd hire me, right?"
4299,For what?,"Exactly! All right, everybody, listen up. The coffeehouse is going to be closed for about an hour."
4300,Huh? What?,"Yeah, it's for the kids. To keep the kids off drugs. It's a very important issue in this month's Playboy. I'm sure you all read about it."
4301,"Hey, buddy boy, how'd the audition go?","Not good, no. I didn't get the part, and I lost my job here, so ..."
4302,How-how did you lose your job here?,"Well, I had the audition but Gunther said I had to stay here and be in charge so he could go get his hair dyed. So, I went anyway, and then he fired me."
4303,"He left work in the middle of the day to do a personal errand and left you in charge when you've been working here two days? That's not, that's not right.","Yeah, what are ya gonna do?"
4304,"That's right, he can have his job back. I'm glad we got that all straightened out. There you go, Joey, you got your job back.",That's great. Thanks Rach.
4305,No way.,I'm not answering that.
4306,,"Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together that's $12.75."
4307,Hi!,Hi!
4308,How much do I owe you for the muffin and the latte?,Oh that's on the house courtesy of Joey Tribbiani.
4309,"Oh great! Well, tell him thanks. And since uh, Joey seems like such a nice guy, maybe we could go on a date sometime?","Well, he's not used to women being so forward with him; but uh, I good check with him-He says it's okay. Great! Thanks! Bye-bye!"
4310,"Hey Joey, how come our stuff isn't free?",It will be when you look like that in a tight skirt! This is great! I'm getting more dates than ever!
4311,Yeah Joey that is so gross!,How about a scone on the house baby?
4312,"And that's Phoebe , and that's Joey.","Hey, how you doin'?"
4313,,Are you all finished here?
4314,Yes.,Great!
4315,"Okay, here are the tips for this morning. Jen gets 50, 50 for me, and Joey owes eight dollars.",What?!
4316,For all the free food you gave away.,"Well if it's free food, how come you're charging me for it?"
4317,We don't give anything away unless it's someone's birthday.,"Well, what if they came in third in a modeling contest?"
4318,No!,Sorry!
4319,,That'll be $3.85.
4320,What do you mean? Yesterday you said I was too pretty to pay for stuff!,"""It's just I can't because my manager said I... """"Happy birthday to you, happy birthday to you. Happy birthday dear Annie..."""
4321,Amy!,"""""""...Amy! Happy birthday to you!"""""""
4322,"Hey, that's weird, today's my birthday too!","Yeah, not it here it isn't."
4323,,"""""""Happy birthday to you!"""""""
4324,You're paying for that.,What? No-no it's her birthday!
4325,You've sung Happy Birthday to 20 different women today!,But it really...
4326,You are no longer authorized to distribute birthday muffins.,Damnit!
4327,"I have to say you are a much bigger person than I am. I mean after all we've been through, I just-y'know I wish I had a brother to reciprocate. Hey, if you ever want to go out with Monica, you have my blessing.","Oh-ho, and mine!"
4328,,"Oh, uh, hey Rach. I uh, I was just coming over here to uh... Oh wait, I don't have to lie to you, you don't live here anymore. Uh, I'm eating their food. What are you doing?"
4329,Ross is on a date with my sister and they shut the drapes two and a-half-hours ago.,"Whoa, I didn't know we could date your sister!"
4330,Yuck!,I can't believe Ross went out with Rachel's sister! When Chandler made out with my sister I was mad at him for 10 years.
4331,That was like 5 years ago.,Yeah you got 5 years left!
4332,Joey...,You wanna make it 6?!
4333,"Well see now that I can see crying over, but Bambi is a cartoon!",You didn't cry when Bambi's mother died?
4334,"No, I guess I just never really cried. Y'know? I'm not a crying kind of guy.","Come on man there's gotta be something that gets you choked up! Like uh, uh oh, what if you saw a three-legged puppy?"
4335,"I'd be sad sure, but I wouldn't cry.","""Okay, what if the puppy said, """"Help me Chandler. All the other puppies pick on me."""""""
4336,"No! Look, I don't cry! It's not a big deal! Okay?!",No! It's not okay! It's not okay at all!! You're dead inside!!
4337,"You're just saying that because you're my biggest fan. Joey listen, take good care of that guy, okay? He's a fan. Bye!","So, you saw me on Days Of Our Lives huh? Want me to, want me to do a little Dr. Drake Remoray for ya?"
4338,"I have no idea what you're talking about. But I, but I just got Phoebe Buffay's autograph!","Oh, you're Phoebe's fan!"
4339,Oh yeah! I've seen all her movies.,Movies?
4340,"That was Phoebe Buffay, the porn star.",I don't think so.
4341,"No-no, it was! She was in Sex Toy Story 2, Lawrence of Alabia, and I got her autograph! The guys at the comic book store aren't gonna believe this!","Hey Gunther, don't let that guy in here anymore! He just said Phoebe's a porn star!"
4342,Oh great! Did you get a movie?,"Uhhh, yeah. Yeah. But uh, I don't think it's the kind you're gonna like."
4343,,Sort of...
4344,"Guys, what's going on?",Phoebe's a porn star!
4345,That's Phoebe! Where did you get that?,Well down at the adult video place down on Bleaker.
4346,"Yes, but you are dead inside.","All right well, I'd better take that back."
4347,"Wh-what, why?",We can't watch that! I mean that's Phoebe!
4348,Probably just the first half.,"No! Hey no! This is wrong you guys! Phoebe's our friend! Well, I'm not gonna watch it!"
4349,Yeah! Good for you Joe!,Yeah.
4350,She's just doing her job!,You sick bastards!
4351,,Re! Re! Then I can watch that! Rewind it! Rewind it!
4352,Hey!,Hey!
4353,"So, I just came from the company Ursula works for.","Oh no, not you too!"
4354,No! No! I just went to pick up Phoebe Buffay's checks; there were a lot of them.,Nice!
4355,"Um-mmm, and I won't have to go there anymore because I gave them my correct address.","That's great, but isn't it gonna bother that people still think you're a porn star?"
4356,Oh no! No! I know how to handle it.,You do?
4357,"Yeah. You're trying to figure out where you know me from? All right, I'll give you a hint. From porn! Okay? Yeah your pervert boyfriend watched me in a porno movie! See?",Yeah.
4358,Wow!,What is the matter with you?!
4359,No! Barry and Mindy.,"Oh sorry, I hear divorce I immediately go to Ross. Who-who's Barry and Mindy?"
4360,Barry was the guy that I was almost married and Mindy was my best friend.,"Ohh-oh, wasn't he cheating on you with her?"
4361,"The first time! No seriously, imagine if Carol hadn't realized she was a lesbian.",I can't. I keep seeing it the good way.
4362,"No, I just think Monica was that fat.","Hey, imagine if I never got fired off Days Of Our Lives! Oh-hey, there's Carol again!"
